width,module,t,l1,optimizer,lr
64,tok_emb,1,0.7997521758079529,adamw,0.001
64,pos_emb,1,0.7944823503494263,adamw,0.001
64,drop_emb,1,1.1258480548858643,adamw,0.001
64,trf_blocks.0.norm1,1,0.7699419260025024,adamw,0.001
64,trf_blocks.0.att.w_key,1,0.46343719959259033,adamw,0.001
64,trf_blocks.0.att.w_query,1,0.46663302183151245,adamw,0.001
64,trf_blocks.0.att.w_value,1,0.4622151851654053,adamw,0.001
64,trf_blocks.0.att.rope,1,0.46661150455474854,adamw,0.001
64,trf_blocks.0.att.rope,1,0.46376073360443115,adamw,0.001
64,trf_blocks.0.att.dropout,1,0.0039053286891430616,adamw,0.001
64,trf_blocks.0.att.out_proj,1,0.06989895552396774,adamw,0.001
64,trf_blocks.0.att,1,0.06989895552396774,adamw,0.001
64,trf_blocks.0.drop_resid,1,0.0699600800871849,adamw,0.001
64,trf_blocks.0.norm2,1,0.7708253264427185,adamw,0.001
64,trf_blocks.0.ff.w1,1,0.4677037000656128,adamw,0.001
64,trf_blocks.0.ff.w3,1,0.4649854302406311,adamw,0.001
64,trf_blocks.0.ff.w2,1,0.08979415148496628,adamw,0.001
64,trf_blocks.0.ff,1,0.08979415148496628,adamw,0.001
64,trf_blocks.0.drop_resid,1,0.09000089764595032,adamw,0.001
64,trf_blocks.0,1,1.1428390741348267,adamw,0.001
64,trf_blocks.1.norm1,1,0.7723208665847778,adamw,0.001
64,trf_blocks.1.att.w_key,1,0.4647205173969269,adamw,0.001
64,trf_blocks.1.att.w_query,1,0.4661019444465637,adamw,0.001
64,trf_blocks.1.att.w_value,1,0.46750128269195557,adamw,0.001
64,trf_blocks.1.att.rope,1,0.4657736122608185,adamw,0.001
64,trf_blocks.1.att.rope,1,0.4646536707878113,adamw,0.001
64,trf_blocks.1.att.dropout,1,0.003907317295670509,adamw,0.001
64,trf_blocks.1.att.out_proj,1,0.07972066104412079,adamw,0.001
64,trf_blocks.1.att,1,0.07972066104412079,adamw,0.001
64,trf_blocks.1.drop_resid,1,0.07973457127809525,adamw,0.001
64,trf_blocks.1.norm2,1,0.7730796933174133,adamw,0.001
64,trf_blocks.1.ff.w1,1,0.4668857753276825,adamw,0.001
64,trf_blocks.1.ff.w3,1,0.46403178572654724,adamw,0.001
64,trf_blocks.1.ff.w2,1,0.0885159820318222,adamw,0.001
64,trf_blocks.1.ff,1,0.0885159820318222,adamw,0.001
64,trf_blocks.1.drop_resid,1,0.08844869583845139,adamw,0.001
64,trf_blocks.1,1,1.155060052871704,adamw,0.001
64,trf_blocks.2.norm1,1,0.7744172811508179,adamw,0.001
64,trf_blocks.2.att.w_key,1,0.4548729658126831,adamw,0.001
64,trf_blocks.2.att.w_query,1,0.46440884470939636,adamw,0.001
64,trf_blocks.2.att.w_value,1,0.4641430079936981,adamw,0.001
64,trf_blocks.2.att.rope,1,0.4641386866569519,adamw,0.001
64,trf_blocks.2.att.rope,1,0.45488452911376953,adamw,0.001
64,trf_blocks.2.att.dropout,1,0.003906670492142439,adamw,0.001
64,trf_blocks.2.att.out_proj,1,0.07658255100250244,adamw,0.001
64,trf_blocks.2.att,1,0.07658255100250244,adamw,0.001
64,trf_blocks.2.drop_resid,1,0.07659336924552917,adamw,0.001
64,trf_blocks.2.norm2,1,0.7753106355667114,adamw,0.001
64,trf_blocks.2.ff.w1,1,0.46562597155570984,adamw,0.001
64,trf_blocks.2.ff.w3,1,0.46491706371307373,adamw,0.001
64,trf_blocks.2.ff.w2,1,0.08949432522058487,adamw,0.001
64,trf_blocks.2.ff,1,0.08949432522058487,adamw,0.001
64,trf_blocks.2.drop_resid,1,0.08937755227088928,adamw,0.001
64,trf_blocks.2,1,1.1659059524536133,adamw,0.001
64,trf_blocks.3.norm1,1,0.776416003704071,adamw,0.001
64,trf_blocks.3.att.w_key,1,0.4672619700431824,adamw,0.001
64,trf_blocks.3.att.w_query,1,0.45671403408050537,adamw,0.001
64,trf_blocks.3.att.w_value,1,0.469011127948761,adamw,0.001
64,trf_blocks.3.att.rope,1,0.45675015449523926,adamw,0.001
64,trf_blocks.3.att.rope,1,0.4672199487686157,adamw,0.001
64,trf_blocks.3.att.dropout,1,0.003906446974724531,adamw,0.001
64,trf_blocks.3.att.out_proj,1,0.08455800265073776,adamw,0.001
64,trf_blocks.3.att,1,0.08455800265073776,adamw,0.001
64,trf_blocks.3.drop_resid,1,0.0845499038696289,adamw,0.001
64,trf_blocks.3.norm2,1,0.777283251285553,adamw,0.001
64,trf_blocks.3.ff.w1,1,0.46733006834983826,adamw,0.001
64,trf_blocks.3.ff.w3,1,0.4642977714538574,adamw,0.001
64,trf_blocks.3.ff.w2,1,0.08920923620462418,adamw,0.001
64,trf_blocks.3.ff,1,0.08920923620462418,adamw,0.001
64,trf_blocks.3.drop_resid,1,0.08920522034168243,adamw,0.001
64,trf_blocks.3,1,1.1766774654388428,adamw,0.001
64,trf_blocks.4.norm1,1,0.7778146266937256,adamw,0.001
64,trf_blocks.4.att.w_key,1,0.4616324305534363,adamw,0.001
64,trf_blocks.4.att.w_query,1,0.4668302536010742,adamw,0.001
64,trf_blocks.4.att.w_value,1,0.45846325159072876,adamw,0.001
64,trf_blocks.4.att.rope,1,0.4664616286754608,adamw,0.001
64,trf_blocks.4.att.rope,1,0.46171048283576965,adamw,0.001
64,trf_blocks.4.att.dropout,1,0.003905724501237273,adamw,0.001
64,trf_blocks.4.att.out_proj,1,0.08167386054992676,adamw,0.001
64,trf_blocks.4.att,1,0.08167386054992676,adamw,0.001
64,trf_blocks.4.drop_resid,1,0.08169782906770706,adamw,0.001
64,trf_blocks.4.norm2,1,0.7783100605010986,adamw,0.001
64,trf_blocks.4.ff.w1,1,0.465536892414093,adamw,0.001
64,trf_blocks.4.ff.w3,1,0.4682042598724365,adamw,0.001
64,trf_blocks.4.ff.w2,1,0.0901125818490982,adamw,0.001
64,trf_blocks.4.ff,1,0.0901125818490982,adamw,0.001
64,trf_blocks.4.drop_resid,1,0.0903044268488884,adamw,0.001
64,trf_blocks.4,1,1.1827378273010254,adamw,0.001
64,trf_blocks.5.norm1,1,0.7789983153343201,adamw,0.001
64,trf_blocks.5.att.w_key,1,0.4656267464160919,adamw,0.001
64,trf_blocks.5.att.w_query,1,0.45743948221206665,adamw,0.001
64,trf_blocks.5.att.w_value,1,0.4564448595046997,adamw,0.001
64,trf_blocks.5.att.rope,1,0.4569525420665741,adamw,0.001
64,trf_blocks.5.att.rope,1,0.46560293436050415,adamw,0.001
64,trf_blocks.5.att.dropout,1,0.003908001817762852,adamw,0.001
64,trf_blocks.5.att.out_proj,1,0.08418993651866913,adamw,0.001
64,trf_blocks.5.att,1,0.08418993651866913,adamw,0.001
64,trf_blocks.5.drop_resid,1,0.08415663242340088,adamw,0.001
64,trf_blocks.5.norm2,1,0.7794651985168457,adamw,0.001
64,trf_blocks.5.ff.w1,1,0.4654471278190613,adamw,0.001
64,trf_blocks.5.ff.w3,1,0.46791550517082214,adamw,0.001
64,trf_blocks.5.ff.w2,1,0.08834288269281387,adamw,0.001
64,trf_blocks.5.ff,1,0.08834288269281387,adamw,0.001
64,trf_blocks.5.drop_resid,1,0.08842313289642334,adamw,0.001
64,trf_blocks.5,1,1.1909281015396118,adamw,0.001
64,trf_blocks,1,1.1909281015396118,adamw,0.001
64,final_norm,1,0.780285120010376,adamw,0.001
64,out_head,1,0.46196889877319336,adamw,0.001
